Start recording training loss ...
1	loss:3.6855445703871603	lfcc_fcloss:0.08748654317193176	cqt_fcloss:0.06020731066281922	lfcc_ftcloss:1.767593895157879		cqt_ftcloss:1.7702568200433284	
12	loss:3.589958040179774	lfcc_fcloss:0.0028823883734556376	cqt_fcloss:0.005107829683333976	lfcc_ftcloss:1.7919117626675432	cqt_ftcloss:1.790056057480781	
13	loss:3.5905126159077025	lfcc_fcloss:0.004668628239819427	cqt_fcloss:0.004155259952555468	lfcc_ftcloss:1.7903269271105904	cqt_ftcloss:1.791361803071625	
14	loss:3.58700476725696	lfcc_fcloss:0.0017916416417899763	cqt_fcloss:0.0038651702497100936	lfcc_ftcloss:1.7918742760002464	cqt_ftcloss:1.7894736689043886	
15	loss:3.5873207403370353	lfcc_fcloss:0.0003337926088416649	cqt_fcloss:0.0037008032298153012	lfcc_ftcloss:1.7918069796538172	cqt_ftcloss:1.79147916446705	
16	loss:3.590109771685276	lfcc_fcloss:0.004639187591373773	cqt_fcloss:0.0032763989081243975	lfcc_ftcloss:1.791366017735575	cqt_ftcloss:1.7908281611855745	
17	loss:3.5890001842296995	lfcc_fcloss:0.0019593608056910393	cqt_fcloss:0.0038024606078580813	lfcc_ftcloss:1.7916190832928387	cqt_ftcloss:1.7916192766701244	
18	loss:3.586746121834147	lfcc_fcloss:0.0027640751917785977	cqt_fcloss:0.0017160989881966728	lfcc_ftcloss:1.7908915599587583	cqt_ftcloss:1.7913743927136476	
19	loss:3.5894827212134297	lfcc_fcloss:0.0041372827527288904	cqt_fcloss:0.0030167613504090696	lfcc_ftcloss:1.7913327063961653	cqt_ftcloss:1.790995971982365	
20	loss:3.5860165258498875	lfcc_fcloss:0.0006208172031420026	cqt_fcloss:0.0029280780465335806	lfcc_ftcloss:1.7912541775018802	cqt_ftcloss:1.7912134436576133	
21	loss:3.5861135198727663	lfcc_fcloss:0.002400918044681081	cqt_fcloss:0.0014673868524619023	lfcc_ftcloss:1.7916976599308947	cqt_ftcloss:1.790547566089582	
22	loss:3.58988535043875	lfcc_fcloss:0.0032785657243511526	cqt_fcloss:0.003821026217225389	lfcc_ftcloss:1.7914097538823144	cqt_ftcloss:1.791376003990846	
23	loss:3.5880972909687148	lfcc_fcloss:0.003956241777507874	cqt_fcloss:0.0020980474533555814	lfcc_ftcloss:1.791541148042799	cqt_ftcloss:1.7905018544317193	
24	loss:3.5870129068192065	lfcc_fcloss:0.0010654566189635063	cqt_fcloss:0.0034154423303978374	lfcc_ftcloss:1.7911135534795766	cqt_ftcloss:1.7914184530075612	
25	loss:3.5874767855973326	lfcc_fcloss:0.0033501219858835117	cqt_fcloss:0.0007552818523987683	lfcc_ftcloss:1.7918373404882417	cqt_ftcloss:1.791534046081812	
26	loss:3.586842143265366	lfcc_fcloss:0.0005675267296616543	cqt_fcloss:0.0031477565192021806	lfcc_ftcloss:1.7917465642657628	cqt_ftcloss:1.7913802896699016	
27	loss:3.586556553840637	lfcc_fcloss:0.001460591118232941	cqt_fcloss:0.0019574644248299654	lfcc_ftcloss:1.7917132266522655	cqt_ftcloss:1.7914252707579874	
28	loss:3.5862078048119916	lfcc_fcloss:0.002567131125550408	cqt_fcloss:0.00014388074273121403	lfcc_ftcloss:1.7914805271163095	cqt_ftcloss:1.7920162688274528	
29	loss:3.5855962407378765	lfcc_fcloss:0.0014423215635340622	cqt_fcloss:0.001001377782277825	lfcc_ftcloss:1.7916806343220344	cqt_ftcloss:1.7914719102664918	
30	loss:3.5848580628858704	lfcc_fcloss:0.00015454566560085323	cqt_fcloss:0.0023406991765691954	lfcc_ftcloss:1.7913743721447903	cqt_ftcloss:1.7909884452819824	
31	loss:3.587474720904449	lfcc_fcloss:0.0032796742660955165	cqt_fcloss:0.0029258297001425945	lfcc_ftcloss:1.791629783452608	cqt_ftcloss:1.7896394313732984	
32	loss:3.586372761942578	lfcc_fcloss:0.0030812324066179886	cqt_fcloss:0.0007606266964986419	lfcc_ftcloss:1.791400807780643	cqt_ftcloss:1.791130092792607	
33	loss:3.5864014718634656	lfcc_fcloss:0.0005326364238528899	cqt_fcloss:0.0030299456919046564	lfcc_ftcloss:1.7915691897010322	cqt_ftcloss:1.7912697027852613	
34	loss:3.587548736360872	lfcc_fcloss:0.002554741821474306	cqt_fcloss:0.0018236791827093632	lfcc_ftcloss:1.7920123036922675	cqt_ftcloss:1.791158018544579	
35	loss:3.5860224640939937	lfcc_fcloss:0.0019276147904300186	cqt_fcloss:0.0020178448011017335	lfcc_ftcloss:1.791435760725055	cqt_ftcloss:1.7906412477757527	
36	loss:3.5856147292879426	lfcc_fcloss:0.0005912424352841751	cqt_fcloss:0.00178299201630747	lfcc_ftcloss:1.791738299939134	cqt_ftcloss:1.7915021976836083	
37	loss:3.5853986262674598	lfcc_fcloss:0.0007760036818848964	cqt_fcloss:0.0016929671435161652	lfcc_ftcloss:1.7917545032441167	cqt_ftcloss:1.791175157357223	
38	loss:3.586184601339345	lfcc_fcloss:0.001705411902290216	cqt_fcloss:0.0013604333616549686	lfcc_ftcloss:1.7917063362352192	cqt_ftcloss:1.7914124219783907	
39	loss:3.5859711224246085	lfcc_fcloss:0.0017954906897375287	cqt_fcloss:0.0007667535100093489	lfcc_ftcloss:1.7917091056742056	cqt_ftcloss:1.7916997824267717	
40	loss:3.5837155223193036	lfcc_fcloss:0.0002293403461644806	cqt_fcloss:0.00011688381358725385	lfcc_ftcloss:1.791676095661048	cqt_ftcloss:1.7916932009929973	
41	loss:3.5872139414251603	lfcc_fcloss:0.0020659908085698207	cqt_fcloss:0.0022446672854692005	lfcc_ftcloss:1.791735332919008	cqt_ftcloss:1.7911679501497475	
42	loss:3.5847496716141403	lfcc_fcloss:0.0006241249791800896	cqt_fcloss:0.00217999490996189	lfcc_ftcloss:1.7917321989458215	cqt_ftcloss:1.7902133556397195	
43	loss:3.5859275149458303	lfcc_fcloss:0.0011855111109234447	cqt_fcloss:0.0014239091609987633	lfcc_ftcloss:1.7917267276297888	cqt_ftcloss:1.7915913665324674	
44	loss:3.58542861896438	lfcc_fcloss:0.0001540610152781804	cqt_fcloss:0.0019253594899107435	lfcc_ftcloss:1.7917069334827682	cqt_ftcloss:1.7916422625933246	
45	loss:3.585623845645703	lfcc_fcloss:0.0009205429708773009	cqt_fcloss:0.0005962655060603258	lfcc_ftcloss:1.792369456675551	cqt_ftcloss:1.7917375800291298	
46	loss:3.5847937592331047	lfcc_fcloss:0.001169762013966665	cqt_fcloss:0.0002562294541981113	lfcc_ftcloss:1.7917218868918623	cqt_ftcloss:1.7916458804601385	
47	loss:3.5844402535436135	lfcc_fcloss:0.0007916376854840184	cqt_fcloss:0.00025311880142453447	lfcc_ftcloss:1.791781851866984	cqt_ftcloss:1.791613646658602	
48	loss:3.5876128793663584	lfcc_fcloss:0.0008736179674053472	cqt_fcloss:0.004263417825432937	lfcc_ftcloss:1.7917733040804826	cqt_ftcloss:1.790702546273431	
49	loss:3.586112968267061	lfcc_fcloss:0.0015431528145831426	cqt_fcloss:0.001566759733914691	lfcc_ftcloss:1.7917683884238715	cqt_ftcloss:1.7912346686163838	
50	loss:3.584372922815664	lfcc_fcloss:0.0006214916629854995	cqt_fcloss:0.0007403425919102304	lfcc_ftcloss:1.7917372449219078	cqt_ftcloss:1.791273843281215	
51	loss:3.585091167793466	lfcc_fcloss:0.00032955516815897273	cqt_fcloss:0.0018839451584493007	lfcc_ftcloss:1.791759307798871	cqt_ftcloss:1.7911183596858449	
52	loss:3.5876630364497304	lfcc_fcloss:0.003311772244703508	cqt_fcloss:0.001059268911875841	lfcc_ftcloss:1.7917300064858022	cqt_ftcloss:1.7915619865472732	
53	loss:3.5845358095481354	lfcc_fcloss:0.0002789549421576023	cqt_fcloss:0.0012934338295314913	lfcc_ftcloss:1.7917546257564343	cqt_ftcloss:1.7912087971977984	
54	loss:3.584310128947049	lfcc_fcloss:0.00012528804720255763	cqt_fcloss:0.001345632311667615	lfcc_ftcloss:1.7917630983239758	cqt_ftcloss:1.7910761087006826	
55	loss:3.5850497946631097	lfcc_fcloss:0.0003811592026787304	cqt_fcloss:0.0017062173145590664	lfcc_ftcloss:1.7916932161568995	cqt_ftcloss:1.791269208231861	
56	loss:3.5847464889963567	lfcc_fcloss:0.0011745237809144718	cqt_fcloss:0.00014144890745329422	lfcc_ftcloss:1.7917411662169007	cqt_ftcloss:1.7916893454582925	
57	loss:3.584790037320903	lfcc_fcloss:0.0012521770917622293	cqt_fcloss:8.259713256914481e-05	lfcc_ftcloss:1.79172996519795	cqt_ftcloss:1.7917253005714802	
58	loss:3.5836948898036773	lfcc_fcloss:0.00014968167033228117	cqt_fcloss:5.263900581474821e-05	lfcc_ftcloss:1.7917590938527277	cqt_ftcloss:1.7917334830730929	
59	loss:3.588055951769466	lfcc_fcloss:0.0013709169778489713	cqt_fcloss:0.0047468510178288615	lfcc_ftcloss:1.7917364532461095	cqt_ftcloss:1.790201731532887	
60	loss:3.586679353521813	lfcc_fcloss:0.0014108991734493087	cqt_fcloss:0.0016176438495369865	lfcc_ftcloss:1.7923954662207693	cqt_ftcloss:1.7912553452724773	
61	loss:3.585000174772229	lfcc_fcloss:0.0005904830803114087	cqt_fcloss:0.0006931928342444927	lfcc_ftcloss:1.7919724359920703	cqt_ftcloss:1.7917440583183424	
62	loss:3.583912132669156	lfcc_fcloss:0.0003474976142319158	cqt_fcloss:0.00016297107459570815	lfcc_ftcloss:1.7917520954867154	cqt_ftcloss:1.7916495741464629	
63	loss:3.585261381543253	lfcc_fcloss:0.001655842504026274	cqt_fcloss:7.779951049354864e-05	lfcc_ftcloss:1.7917583674868047	cqt_ftcloss:1.7917693713750287	
64	loss:3.5859034214572283	lfcc_fcloss:0.0007593204391086604	cqt_fcloss:0.0021098591840504363	lfcc_ftcloss:1.7917245961256532	cqt_ftcloss:1.7913096475060701	
65	loss:3.5849611828249106	lfcc_fcloss:0.00019025692224053335	cqt_fcloss:0.00269954530455195	lfcc_ftcloss:1.7917678483787651	cqt_ftcloss:1.7903035317620342	
66	loss:3.5838087704079578	lfcc_fcloss:0.0002749034665519918	cqt_fcloss:0.00046008419719576794	lfcc_ftcloss:1.7917557007419673	cqt_ftcloss:1.7913180843408523	
67	loss:3.5849245915785244	lfcc_fcloss:0.001412083916738374	cqt_fcloss:0.00013723945549545122	lfcc_ftcloss:1.7917204271035472	cqt_ftcloss:1.7916548375218582	
68	loss:3.585414866356165	lfcc_fcloss:0.0003610496792397752	cqt_fcloss:0.0020641891080996743	lfcc_ftcloss:1.7917425725562146	cqt_ftcloss:1.7912470534706597	
69	loss:3.5842261296375573	lfcc_fcloss:6.16261760272081e-05	cqt_fcloss:0.0017826207580436094	lfcc_ftcloss:1.7917438945181725	cqt_ftcloss:1.7906379912902486	
70	loss:3.5845830857903893	lfcc_fcloss:8.224535870280195e-05	cqt_fcloss:0.001311179081561581	lfcc_ftcloss:1.7917599814664806	cqt_ftcloss:1.7914296807510126	
71	loss:3.585365235955649	lfcc_fcloss:0.0011302819661921436	cqt_fcloss:0.0014340624385725722	lfcc_ftcloss:1.7917443470330323	cqt_ftcloss:1.791056540811092	
72	loss:3.585117446385343	lfcc_fcloss:0.0012103481125752028	cqt_fcloss:0.0010139790197828036	lfcc_ftcloss:1.7917243167194972	cqt_ftcloss:1.7911687967759236	
73	loss:3.585363805143899	lfcc_fcloss:0.0012622625061589642	cqt_fcloss:0.0014636685128783325	lfcc_ftcloss:1.7916449299387127	cqt_ftcloss:1.7909929417542907	
74	loss:3.5851833324888793	lfcc_fcloss:0.0008674866484543697	cqt_fcloss:0.0011818168886763775	lfcc_ftcloss:1.7917642138466727	cqt_ftcloss:1.791369819220728	
75	loss:3.584317430440965	lfcc_fcloss:0.0007661563998901446	cqt_fcloss:0.00037547348511561974	lfcc_ftcloss:1.7917692874480855	cqt_ftcloss:1.7914065115097488	
76	loss:3.58501043698049	lfcc_fcloss:0.0014340966455210287	cqt_fcloss:0.00015814614656373322	lfcc_ftcloss:1.7917488717312176	cqt_ftcloss:1.791669322051089	
77	loss:3.5858891794002927	lfcc_fcloss:0.0004617070775191538	cqt_fcloss:0.0024377024435610164	lfcc_ftcloss:1.791731934103017	cqt_ftcloss:1.7912578399595747	
78	loss:3.5851297222396887	lfcc_fcloss:0.0004988877068622597	cqt_fcloss:0.0016606130977456254	lfcc_ftcloss:1.791753750904381	cqt_ftcloss:1.791216466979356	
79	loss:3.583742139921981	lfcc_fcloss:7.138103381424928e-05	cqt_fcloss:0.0012443744589922593	lfcc_ftcloss:1.7918572256186747	cqt_ftcloss:1.7905691603869576	
80	loss:3.5847795228813997	lfcc_fcloss:8.65552879472042e-05	cqt_fcloss:0.0014312003005623024	lfcc_ftcloss:1.7917572546665854	cqt_ftcloss:1.7915045152082851	
81	loss:3.584123437290528	lfcc_fcloss:8.380945501939821e-05	cqt_fcloss:0.0009871693292087035	lfcc_ftcloss:1.7917491008412627	cqt_ftcloss:1.7913033556878117	
82	loss:3.5867351903122677	lfcc_fcloss:0.0030098678087354526	cqt_fcloss:0.0002319846970255802	lfcc_ftcloss:1.7917139102289599	cqt_ftcloss:1.7917794212886609	
83	loss:3.5855659135342846	lfcc_fcloss:0.0009537980118342585	cqt_fcloss:0.0018549133951998307	lfcc_ftcloss:1.7917686969567306	cqt_ftcloss:1.7909885051869026	
84	loss:3.585483211414039	lfcc_fcloss:0.0006261999860280767	cqt_fcloss:0.0017824680101541268	lfcc_ftcloss:1.7916093866530833	cqt_ftcloss:1.7914651542226374	
85	loss:3.5846987620408948	lfcc_fcloss:0.0013378360610563928	cqt_fcloss:0.00039299118988979457	lfcc_ftcloss:1.7917110544608281	cqt_ftcloss:1.7912568796792019	
86	loss:3.585073739515444	lfcc_fcloss:0.00016889714785911657	cqt_fcloss:0.0018339637879004156	lfcc_ftcloss:1.7917483812315338	cqt_ftcloss:1.7913225027415856	
87	loss:3.5838252519179954	lfcc_fcloss:0.00010440456540084916	cqt_fcloss:0.0011822384113463298	lfcc_ftcloss:1.7917635133044245	cqt_ftcloss:1.790775100139887	
88	loss:3.583713802342451	lfcc_fcloss:7.568404056995338e-05	cqt_fcloss:0.0006150328947394823	lfcc_ftcloss:1.7917633456006758	cqt_ftcloss:1.791259745806831	
89	loss:3.583877542457292	lfcc_fcloss:0.00034584747379139293	cqt_fcloss:0.00010992215499430656	lfcc_ftcloss:1.7917223991615046	cqt_ftcloss:1.7916993752534804	
90	loss:3.5854766074596185	lfcc_fcloss:0.0019398307602592245	cqt_fcloss:8.628307303266406e-05	lfcc_ftcloss:1.7918758680598261	cqt_ftcloss:1.7915746341424266	
91	loss:3.585172025322614	lfcc_fcloss:0.00017048673573984583	cqt_fcloss:0.002076972147263975	lfcc_ftcloss:1.7917462908651127	cqt_ftcloss:1.791178274665131	
92	loss:3.584348833230641	lfcc_fcloss:0.0006138988297924862	cqt_fcloss:0.001164868058255319	lfcc_ftcloss:1.791735542210884	cqt_ftcloss:1.790834523418388	
93	loss:3.58478980490783	lfcc_fcloss:0.00010343944729662573	cqt_fcloss:0.001426489751680728	lfcc_ftcloss:1.7917559999662922	cqt_ftcloss:1.7915038772734346	
94	loss:3.5862939201614417	lfcc_fcloss:0.0023608362453891173	cqt_fcloss:0.0012190447261561143	lfcc_ftcloss:1.791595269060255	cqt_ftcloss:1.7911187709128527	
95	loss:3.583963495658087	lfcc_fcloss:0.0003688221402605464	cqt_fcloss:0.0003975954016900555	lfcc_ftcloss:1.7917445214929748	cqt_ftcloss:1.7914525608271736	
96	loss:3.584214824573219	lfcc_fcloss:0.0001786112512127691	cqt_fcloss:0.00044163972998174954	lfcc_ftcloss:1.7917557208604116	cqt_ftcloss:1.79183885297487	
97	loss:3.584647254019	lfcc_fcloss:0.0005004226317884925	cqt_fcloss:0.0005582226231103072	lfcc_ftcloss:1.7917595044791848	cqt_ftcloss:1.7918290998833606	
98	loss:3.5876684951542006	lfcc_fcloss:0.002939285924476869	cqt_fcloss:0.0014928675595607499	lfcc_ftcloss:1.7919280616102051	cqt_ftcloss:1.791308285157086	
99	loss:3.583432451603695	lfcc_fcloss:0.00018534259452794845	cqt_fcloss:0.00011535716147386837	lfcc_ftcloss:1.7915581086420593	cqt_ftcloss:1.7915736486389295	
100	loss:3.5837264562433853	lfcc_fcloss:0.00012066959976377928	cqt_fcloss:9.470180450703781e-05	lfcc_ftcloss:1.7917536377005974	cqt_ftcloss:1.7917574453413936	
